PdfType: error
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00
1.30000E+00 1.50159E+00 1.75516E+00 2.07810E+00 2.49495E+00 3.04086E+00 3.76715E+00 4.50000E+00 4.75000E+00 6.23113E+00 8.37423E+00 1.15549E+01 1.64076E+01 2.40380E+01 3.64361E+01 5.73145E+01 9.38707E+01 1.60654E+02 2.88438E+02 5.45587E+02 1.09231E+03 2.32646E+03 5.30043E+03 1.29956E+04 3.45140E+04 1.00000E+05
900 901 902 903 904 905 906 907 908 909 910
 1.17742E+00 9.60405E-02 1.13368E+00 9.25511E-02 2.62783E+02 1.57745E+00 1.28810E-01 2.66696E+02 1.17743E+00 9.60415E-02 3.75192E-02
 1.28382E+00 1.30441E-01 1.22719E+00 1.28687E-01 2.87373E+02 1.70401E+00 1.80283E-01 2.89621E+02 1.28383E+00 1.30443E-01 5.47385E-02
 1.46708E+00 1.87069E-01 1.39110E+00 1.86968E-01 3.13313E+02 1.92713E+00 2.62862E-01 3.13510E+02 1.46710E+00 1.87073E-01 8.15298E-02
 1.73327E+00 2.67920E-01 1.63118E+00 2.68737E-01 3.40759E+02 2.25477E+00 3.78191E-01 3.38484E+02 1.73332E+00 2.67927E-01 1.24287E-01
 2.09814E+00 3.76370E-01 1.96155E+00 3.75875E-01 3.69836E+02 2.70618E+00 5.28341E-01 3.64632E+02 2.09822E+00 3.76385E-01 1.94398E-01
 2.58950E+00 5.19853E-01 2.40668E+00 5.13472E-01 4.00762E+02 3.31448E+00 7.19578E-01 3.92103E+02 2.58965E+00 5.19883E-01 3.12820E-01
 3.23382E+00 7.04870E-01 2.99061E+00 6.84928E-01 4.33631E+02 4.11256E+00 9.55503E-01 4.20964E+02 3.23409E+00 7.04933E-01 5.19194E-01
 3.84635E+00 8.77239E-01 3.54617E+00 8.40130E-01 4.60346E+02 4.87206E+00 1.16720E+00 4.44215E+02 3.84681E+00 8.77349E-01 7.85974E-01
 4.04619E+00 9.36112E-01 3.73843E+00 8.93619E-01 4.68559E+02 5.13951E+00 1.24036E+00 4.51293E+02 4.04673E+00 9.36242E-01 8.91132E-01
 5.18819E+00 1.23961E+00 4.82764E+00 1.16617E+00 5.08944E+02 6.65096E+00 1.61181E+00 4.85919E+02 5.18943E+00 1.23991E+00 1.66276E+00
