PdfType: error
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00
1.30000E+00 1.50159E+00 1.75516E+00 2.07810E+00 2.49495E+00 3.04086E+00 3.76715E+00 4.50000E+00 4.75000E+00 6.23113E+00 8.37423E+00 1.15549E+01 1.64076E+01 2.40380E+01 3.64361E+01 5.73145E+01 9.38707E+01 1.60654E+02 2.88438E+02 5.45587E+02 1.09231E+03 2.32646E+03 5.30043E+03 1.29956E+04 3.45140E+04 1.00000E+05
900 901 902 903 904 905 906 907 908 909 910
 1.17671E+00 9.59266E-02 1.13302E+00 9.24353E-02 2.80291E+02 1.57653E+00 1.28646E-01 2.85381E+02 1.17672E+00 9.59276E-02 4.00190E-02
 1.28270E+00 1.30190E-01 1.22616E+00 1.28431E-01 3.05659E+02 1.70261E+00 1.79921E-01 3.09243E+02 1.28272E+00 1.30192E-01 5.82215E-02
 1.46554E+00 1.86699E-01 1.38970E+00 1.86591E-01 3.32360E+02 1.92522E+00 2.62329E-01 3.34061E+02 1.46557E+00 1.86703E-01 8.64863E-02
 1.73131E+00 2.67437E-01 1.62940E+00 2.68248E-01 3.60558E+02 2.25234E+00 3.77500E-01 3.59963E+02 1.73136E+00 2.67444E-01 1.31509E-01
 2.09572E+00 3.75770E-01 1.95936E+00 3.75273E-01 3.90379E+02 2.70318E+00 5.27493E-01 3.87040E+02 2.09580E+00 3.75785E-01 2.05196E-01
 2.58656E+00 5.19121E-01 2.40401E+00 5.12747E-01 4.22041E+02 3.31083E+00 7.18561E-01 4.15440E+02 2.58670E+00 5.19151E-01 3.29431E-01
 3.23025E+00 7.03982E-01 2.98738E+00 6.84064E-01 4.55643E+02 4.10815E+00 9.54298E-01 4.45234E+02 3.23052E+00 7.04044E-01 5.45549E-01
 3.84222E+00 8.76211E-01 3.54244E+00 8.39146E-01 4.82920E+02 4.86696E+00 1.16583E+00 4.69210E+02 3.84268E+00 8.76321E-01 8.24518E-01
 4.04189E+00 9.35037E-01 3.73454E+00 8.92594E-01 4.91296E+02 5.13419E+00 1.23894E+00 4.76499E+02 4.04243E+00 9.35168E-01 9.34375E-01
 5.18292E+00 1.23830E+00 4.82282E+00 1.16493E+00 5.32451E+02 6.64437E+00 1.61011E+00 5.12135E+02 5.18415E+00 1.23860E+00 1.73957E+00
