PdfType: error
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00
1.30000E+00 1.50159E+00 1.75516E+00 2.07810E+00 2.49495E+00 3.04086E+00 3.76715E+00 4.50000E+00 4.75000E+00 6.23113E+00 8.37423E+00 1.15549E+01 1.64076E+01 2.40380E+01 3.64361E+01 5.73145E+01 9.38707E+01 1.60654E+02 2.88438E+02 5.45587E+02 1.09231E+03 2.32646E+03 5.30043E+03 1.29956E+04 3.45140E+04 1.00000E+05
-5 -4 -3 -2 -1 1 2 3 4 5 21
  0.00000000e+00  0.00000000e+00  4.65197938e-01  1.16299984e+00  1.16299984e+00  1.16299984e+00  1.16547656e+00  4.65197938e-01  0.00000000e+00  0.00000000e+00  9.09313984e-03
  0.00000000e+00  3.93392187e-02  4.98769125e-01  1.18791531e+00  1.18791531e+00  1.18792531e+00  1.19051203e+00  4.98769125e-01  3.93392187e-02  0.00000000e+00  1.44487922e+00
  0.00000000e+00  1.14077078e-01  5.67990172e-01  1.24885266e+00  1.24885594e+00  1.24887594e+00  1.25157266e+00  5.67990172e-01  1.14077078e-01  0.00000000e+00  3.83493922e+00
  0.00000000e+00  2.28170406e-01  6.76757922e-01  1.34963203e+00  1.34964203e+00  1.34966203e+00  1.35247875e+00  6.76757922e-01  2.28170406e-01  0.00000000e+00  7.43928062e+00
  0.00000000e+00  3.87930687e-01  8.31360969e-01  1.49649672e+00  1.49650672e+00  1.49653672e+00  1.49946344e+00  8.31360969e-01  3.87930687e-01  0.00000000e+00  1.25205781e+01
  0.00000000e+00  6.02976125e-01  1.04140187e+00  1.69902328e+00  1.69903328e+00  1.69908328e+00  1.70212328e+00  1.04140187e+00  6.02976125e-01  0.00000000e+00  1.94489641e+01
  0.00000000e+00  8.80815969e-01  1.31436719e+00  1.96467156e+00  1.96468156e+00  1.96474156e+00  1.96790828e+00  1.31436719e+00  8.80815969e-01  0.00000000e+00  2.85170641e+01
  1.45716703e-16  1.13999562e+00  1.56984734e+00  2.21459812e+00  2.21461812e+00  2.21468812e+00  2.21793484e+00  1.56984734e+00  1.13999562e+00  1.45716703e-16  3.70521062e+01
  8.15716281e-02  1.21985281e+00  1.64863781e+00  2.29180187e+00  2.29181188e+00  2.29189187e+00  2.29516859e+00  1.64863781e+00  1.21985281e+00  8.15716281e-02  3.98818156e+01
  5.45811625e-01  1.67595062e+00  2.09973875e+00  2.73539250e+00  2.73541250e+00  2.73550250e+00  2.73890922e+00  2.09973875e+00  1.67595062e+00  5.45811625e-01  5.44933344e+01
  1.12395906e+00  2.24600266e+00  2.66485719e+00  3.29310062e+00  3.29313062e+00  3.29324062e+00  3.29677734e+00  2.66485719e+00  2.24600266e+00  1.12395906e+00  7.24990609e+01
  1.82282812e+00  2.93681234e+00  3.35079000e+00  3.97172641e+00  3.97174641e+00  3.97188641e+00  3.97556312e+00  3.35079000e+00  2.93681234e+00  1.82282812e+00  9.44359578e+01
  2.65832141e+00  3.76425953e+00  4.17342031e+00  4.78712312e+00  4.78715312e+00  4.78731641e+00  4.79112984e+00  4.17342031e+00  3.76425953e+00  2.65832141e+00  1.20772859e+02
  3.65049875e+00  4.74840750e+00  5.15280469e+00  5.75935719e+00  5.75938719e+00  5.75958047e+00  5.76353719e+00  5.15280469e+00  4.74840750e+00  3.65049875e+00  1.52061500e+02
  4.81789672e+00  5.90778266e+00  6.30746969e+00  6.90694516e+00  6.90698187e+00  6.90720187e+00  6.91130859e+00  6.30746969e+00  5.90778266e+00  4.81789672e+00  1.88766078e+02
  6.17867187e+00  7.26054516e+00  7.65555859e+00  8.24803047e+00  8.24807047e+00  8.24832375e+00  8.25258719e+00  7.65555859e+00  7.26054516e+00  6.17867187e+00  2.31298937e+02
  7.75346422e+00  8.82733141e+00  9.21772469e+00  9.80326625e+00  9.80330625e+00  9.80359953e+00  9.80801297e+00  9.21772469e+00  8.82733141e+00  7.75346422e+00  2.80108406e+02
  9.56377375e+00  1.06295781e+01  1.10154547e+01  1.15941359e+01  1.15941359e+01  1.15944687e+01  1.15990359e+01  1.10154547e+01  1.06295781e+01  9.56377375e+00  3.35620500e+02
  1.16317875e+01  1.26895719e+01  1.30708812e+01  1.36427625e+01  1.36427625e+01  1.36431625e+01  1.36479297e+01  1.30708812e+01  1.26895719e+01  1.16317875e+01  3.98235547e+02
  1.39801109e+01  1.50299297e+01  1.54067062e+01  1.59718531e+01  1.59718531e+01  1.59722531e+01  1.59772203e+01  1.54067062e+01  1.50299297e+01  1.39801109e+01  4.68320234e+02
  1.66316984e+01  1.76734516e+01  1.80457937e+01  1.86042406e+01  1.86043078e+01  1.86048078e+01  1.86099078e+01  1.80457937e+01  1.76734516e+01  1.66316984e+01  5.46200219e+02
  1.96096500e+01  2.06433703e+01  2.10113125e+01  2.15631594e+01  2.15632266e+01  2.15637594e+01  2.15690266e+01  2.10113125e+01  2.06433703e+01  1.96096500e+01  6.32156859e+02
  2.29369000e+01  2.39625531e+01  2.43261625e+01  2.48714422e+01  2.48714422e+01  2.48720422e+01  2.48775422e+01  2.43261625e+01  2.39625531e+01  2.29369000e+01  7.26422484e+02
  2.66359469e+01  2.76535344e+01  2.80127766e+01  2.85515562e+01  2.85515891e+01  2.85522891e+01  2.85578891e+01  2.80127766e+01  2.76535344e+01  2.66359469e+01  8.29171781e+02
  3.07361578e+01  3.17456797e+01  3.21006547e+01  3.26329672e+01  3.26330344e+01  3.26337672e+01  3.26396344e+01  3.21006547e+01  3.17456797e+01  3.07361578e+01  9.40678750e+02
  3.52550672e+01  3.62565234e+01  3.66072312e+01  3.71331766e+01  3.71332437e+01  3.71340437e+01  3.71401437e+01  3.66072312e+01  3.62565234e+01  3.52550672e+01  1.06091078e+03
  0.00000000e+00  0.00000000e+00  4.61052750e-01  1.15262938e+00  1.15262938e+00  1.15263938e+00  1.15519609e+00  4.61052750e-01  0.00000000e+00  0.00000000e+00  9.74952000e-03
  0.00000000e+00  3.95321641e-02  4.94860281e-01  1.17785156e+00  1.17785484e+00  1.17786484e+00  1.18054156e+00  4.94860281e-01  3.95321641e-02  0.00000000e+00  1.44707875e+00
  0.00000000e+00  1.14258125e-01  5.64110031e-01  1.23888219e+00  1.23888891e+00  1.23890891e+00  1.24169891e+00  5.64110031e-01  1.14258125e-01  0.00000000e+00  3.83289609e+00
  0.00000000e+00  2.28019500e-01  6.72588172e-01  1.33943172e+00  1.33943500e+00  1.33946828e+00  1.34237500e+00  6.72588172e-01  2.28019500e-01  0.00000000e+00  7.42344891e+00
  0.00000000e+00  3.87026859e-01  8.26476297e-01  1.48563313e+00  1.48564641e+00  1.48569313e+00  1.48871313e+00  8.26476297e-01  3.87026859e-01  0.00000000e+00  1.24771484e+01
  0.00000000e+00  6.00749047e-01  1.03522859e+00  1.68693641e+00  1.68694641e+00  1.68700641e+00  1.69014984e+00  1.03522859e+00  6.00749047e-01  0.00000000e+00  1.93581375e+01
  0.00000000e+00  8.76565344e-01  1.30620734e+00  1.95065484e+00  1.95066484e+00  1.95073812e+00  1.95400156e+00  1.30620734e+00  8.76565344e-01  0.00000000e+00  2.83537750e+01
  1.45716703e-16  1.13365609e+00  1.55963094e+00  2.19856484e+00  2.19858484e+00  2.19866484e+00  2.20202156e+00  1.55963094e+00  1.13365609e+00  1.45716703e-16  3.68136203e+01
  8.08805937e-02  1.21282000e+00  1.63773812e+00  2.27509531e+00  2.27510859e+00  2.27519859e+00  2.27858203e+00  1.63773812e+00  1.21282000e+00  8.08805937e-02  3.96164641e+01
  5.41001844e-01  1.66479469e+00  2.08474594e+00  2.71465281e+00  2.71467609e+00  2.71477609e+00  2.71829281e+00  2.08474594e+00  1.66479469e+00  5.41001844e-01  5.40830547e+01
  1.11357281e+00  2.22926359e+00  2.64432125e+00  3.26688109e+00  3.26690781e+00  3.26703109e+00  3.27068781e+00  2.64432125e+00  2.22926359e+00  1.11357281e+00  7.18954219e+01
  1.80522547e+00  2.91283687e+00  3.32305766e+00  3.93835719e+00  3.93838719e+00  3.93854047e+00  3.94233391e+00  3.32305766e+00  2.91283687e+00  1.80522547e+00  9.35802937e+01
  2.63154578e+00  3.73110437e+00  4.13654828e+00  4.74467422e+00  4.74470422e+00  4.74488750e+00  4.74882422e+00  4.13654828e+00  3.73110437e+00  2.63154578e+00  1.19596906e+02
  3.61223344e+00  4.70375594e+00  5.10446969e+00  5.70550531e+00  5.70553531e+00  5.70574859e+00  5.70983531e+00  5.10446969e+00  4.70375594e+00  3.61223344e+00  1.50485219e+02
  4.76547516e+00  5.84896828e+00  6.24500516e+00  6.83901375e+00  6.83904703e+00  6.83929703e+00  6.84353375e+00  6.24500516e+00  5.84896828e+00  4.76547516e+00  1.86698813e+02
  6.10904750e+00  7.18450781e+00  7.57591781e+00  8.16297609e+00  8.16301609e+00  8.16330609e+00  8.16769281e+00  7.57591781e+00  7.18450781e+00  6.10904750e+00  2.28639687e+02
  7.66317703e+00  8.73061797e+00  9.11744109e+00  9.69761906e+00  9.69765906e+00  9.69798906e+00  9.70254250e+00  9.11744109e+00  8.73061797e+00  7.66317703e+00  2.76744172e+02
  9.44890047e+00  1.05083156e+01  1.08906250e+01  1.14639391e+01  1.14640062e+01  1.14644062e+01  1.14691062e+01  1.08906250e+01  1.05083156e+01  9.44890047e+00  3.31428609e+02
  1.14879578e+01  1.25392766e+01  1.29170859e+01  1.34837000e+01  1.34837672e+01  1.34842000e+01  1.34890672e+01  1.29170859e+01  1.25392766e+01  1.14879578e+01  3.93082016e+02
  1.38023156e+01  1.48457016e+01  1.52190109e+01  1.57789578e+01  1.57790250e+01  1.57794578e+01  1.57845578e+01  1.52190109e+01  1.48457016e+01  1.38023156e+01  4.62058047e+02
  1.64146375e+01  1.74499906e+01  1.78189000e+01  1.83721797e+01  1.83722469e+01  1.83727797e+01  1.83780469e+01  1.78189000e+01  1.74499906e+01  1.64146375e+01  5.38674391e+02
  1.93473234e+01  2.03746109e+01  2.07391531e+01  2.12859328e+01  2.12859328e+01  2.12865328e+01  2.12919328e+01  2.07391531e+01  2.03746109e+01  1.93473234e+01  6.23202719e+02
  2.26228406e+01  2.36420281e+01  2.40022031e+01  2.45424500e+01  2.45424828e+01  2.45431828e+01  2.45487828e+01  2.40022031e+01  2.36420281e+01  2.26228406e+01  7.15863703e+02
  2.62629547e+01  2.72740766e+01  2.76299516e+01  2.81637641e+01  2.81638312e+01  2.81645641e+01  2.81703641e+01  2.76299516e+01  2.72740766e+01  2.62629547e+01  8.16826687e+02
  3.02964672e+01  3.12994562e+01  3.16511312e+01  3.21785437e+01  3.21786437e+01  3.21794437e+01  3.21854437e+01  3.16511312e+01  3.12994562e+01  3.02964672e+01  9.26354687e+02
  3.47403781e+01  3.57352672e+01  3.60827422e+01  3.66038547e+01  3.66038875e+01  3.66047875e+01  3.66109875e+01  3.60827422e+01  3.57352672e+01  3.47403781e+01  1.04440438e+03
  0.00000000e+00  0.00000000e+00  4.55842844e-01  1.13960547e+00  1.13960547e+00  1.13961875e+00  1.14228219e+00  4.55842844e-01  0.00000000e+00  0.00000000e+00  1.05834173e-02
  0.00000000e+00  3.97754797e-02  4.89948734e-01  1.16520094e+00  1.16521094e+00  1.16523094e+00  1.16800766e+00  4.89948734e-01  3.97754797e-02  0.00000000e+00  1.44987812e+00
  0.00000000e+00  1.14485516e-01  5.59235188e-01  1.22635172e+00  1.22636172e+00  1.22638500e+00  1.22929172e+00  5.59235188e-01  1.14485516e-01  0.00000000e+00  3.83033969e+00
  0.00000000e+00  2.27829953e-01  6.67346063e-01  1.32661125e+00  1.32662125e+00  1.32665453e+00  1.32968125e+00  6.67346063e-01  2.27829953e-01  0.00000000e+00  7.40353422e+00
  0.00000000e+00  3.85886734e-01  8.20333281e-01  1.47198609e+00  1.47199609e+00  1.47205609e+00  1.47520281e+00  8.20333281e-01  3.85886734e-01  0.00000000e+00  1.24223859e+01
  0.00000000e+00  5.97943375e-01  1.02747203e+00  1.67173953e+00  1.67175953e+00  1.67182281e+00  1.67509625e+00  1.02747203e+00  5.97943375e-01  0.00000000e+00  1.92438453e+01
  0.00000000e+00  8.71211812e-01  1.29595094e+00  1.93302812e+00  1.93304141e+00  1.93312812e+00  1.93652484e+00  1.29595094e+00  8.71211812e-01  0.00000000e+00  2.81481875e+01
  0.00000000e+00  1.12567672e+00  1.54677469e+00  2.17839828e+00  2.17841828e+00  2.17851828e+00  2.18200828e+00  1.54677469e+00  1.12567672e+00  0.00000000e+00  3.65134375e+01
  8.00112016e-02  1.20396062e+00  1.62402187e+00  2.25407875e+00  2.25409875e+00  2.25420203e+00  2.25772547e+00  1.62402187e+00  1.20396062e+00  8.00112016e-02  3.92825828e+01
  5.34951781e-01  1.65074891e+00  2.06588656e+00  2.68856641e+00  2.68859312e+00  2.68871641e+00  2.69237313e+00  2.06588656e+00  1.65074891e+00  5.34951781e-01  5.35668812e+01
  1.10052000e+00  2.20820141e+00  2.61849219e+00  3.23389844e+00  3.23392172e+00  3.23407172e+00  3.23787516e+00  2.61849219e+00  2.20820141e+00  1.10052000e+00  7.11359562e+01
  1.78307969e+00  2.88267828e+00  3.28817891e+00  3.89639812e+00  3.89642812e+00  3.89660812e+00  3.90055156e+00  3.28817891e+00  2.88267828e+00  1.78307969e+00  9.25042062e+01
  2.59787703e+00  3.68940625e+00  4.09017328e+00  4.69129219e+00  4.69132219e+00  4.69153219e+00  4.69561891e+00  4.09017328e+00  3.68940625e+00  2.59787703e+00  1.18118297e+02
  3.56413516e+00  4.64760828e+00  5.04370516e+00  5.63779375e+00  5.63782375e+00  5.63806703e+00  5.64231047e+00  5.04370516e+00  4.64760828e+00  3.56413516e+00  1.48503625e+02
  4.69958406e+00  5.77501437e+00  6.16647437e+00  6.75360937e+00  6.75364937e+00  6.75392937e+00  6.75833281e+00  6.16647437e+00  5.77501437e+00  4.69958406e+00  1.84100234e+02
  6.02154031e+00  7.08893453e+00  7.47580766e+00  8.05606906e+00  8.05610906e+00  8.05643234e+00  8.06098906e+00  7.47580766e+00  7.08893453e+00  6.02154031e+00  2.25297453e+02
  7.54971391e+00  8.60906531e+00  8.99140500e+00  9.56484937e+00  9.56488937e+00  9.56526266e+00  9.56998609e+00  8.99140500e+00  8.60906531e+00  7.54971391e+00  2.72517625e+02
  9.30456469e+00  1.03558531e+01  1.07337297e+01  1.13004437e+01  1.13004437e+01  1.13008766e+01  1.13057437e+01  1.07337297e+01  1.03558531e+01  9.30456469e+00  3.26162422e+02
  1.13072297e+01  1.23504484e+01  1.27238578e+01  1.32838719e+01  1.32838719e+01  1.32843719e+01  1.32894719e+01  1.27238578e+01  1.23504484e+01  1.13072297e+01  3.86607516e+02
  1.35791219e+01  1.46143078e+01  1.49833172e+01  1.55366641e+01  1.55367641e+01  1.55372641e+01  1.55425641e+01  1.49833172e+01  1.46143078e+01  1.35791219e+01  4.54193906e+02
  1.61420781e+01  1.71692312e+01  1.75338406e+01  1.80807203e+01  1.80807203e+01  1.80813203e+01  1.80867875e+01  1.75338406e+01  1.71692312e+01  1.61420781e+01  5.29224609e+02
  1.90179312e+01  2.00370859e+01  2.03973281e+01  2.09377078e+01  2.09377406e+01  2.09384078e+01  2.09440078e+01  2.03973281e+01  2.00370859e+01  1.90179312e+01  6.11959297e+02
  2.22283828e+01  2.32394047e+01  2.35953797e+01  2.41292922e+01  2.41293922e+01  2.41300922e+01  2.41359594e+01  2.35953797e+01  2.32394047e+01  2.22283828e+01  7.02608641e+02
  2.57946656e+01  2.67975875e+01  2.71493625e+01  2.76768750e+01  2.76768750e+01  2.76777750e+01  2.76837750e+01  2.71493625e+01  2.67975875e+01  2.57946656e+01  8.01330328e+02
  2.97444797e+01  3.07392687e+01  3.10868437e+01  3.16080891e+01  3.16081219e+01  3.16090219e+01  3.16152891e+01  3.10868437e+01  3.07392687e+01  2.97444797e+01  9.08374016e+02
  3.40942578e+01  3.50809813e+01  3.54243562e+01  3.59393344e+01  3.59394016e+01  3.59403344e+01  3.59468016e+01  3.54243562e+01  3.50809813e+01  3.40942578e+01  1.02369469e+03
  0.00000000e+00  0.00000000e+00  4.49331547e-01  1.12333141e+00  1.12333141e+00  1.12334469e+00  1.12614141e+00  4.49331547e-01  0.00000000e+00  0.00000000e+00  1.16402422e-02
  0.00000000e+00  4.00810656e-02  4.83811797e-01  1.14940359e+00  1.14940688e+00  1.14943359e+00  1.15235359e+00  4.83811797e-01  4.00810656e-02  0.00000000e+00  1.45343406e+00
  0.00000000e+00  1.14771250e-01  5.53143969e-01  1.21069438e+00  1.21070437e+00  1.21073438e+00  1.21379109e+00  5.53143969e-01  1.14771250e-01  0.00000000e+00  3.82719344e+00
  0.00000000e+00  2.27591437e-01  6.60793594e-01  1.31058734e+00  1.31059734e+00  1.31064734e+00  1.31381734e+00  6.60793594e-01  2.27591437e-01  0.00000000e+00  7.37859672e+00
  0.00000000e+00  3.84456328e-01  8.12650594e-01  1.45492563e+00  1.45494234e+00  1.45500563e+00  1.45830906e+00  8.12650594e-01  3.84456328e-01  0.00000000e+00  1.23537922e+01
  0.00000000e+00  5.94424781e-01  1.01776219e+00  1.65273922e+00  1.65275594e+00  1.65283922e+00  1.65626594e+00  1.01776219e+00  5.94424781e-01  0.00000000e+00  1.91006562e+01
