PdfType: error
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00
1.30000E+00 1.50159E+00 1.75516E+00 2.07810E+00 2.49495E+00 3.04086E+00 3.76715E+00 4.50000E+00 4.75000E+00 6.23113E+00 8.37423E+00 1.15549E+01 1.64076E+01 2.40380E+01 3.64361E+01 5.73145E+01 9.38707E+01 1.60654E+02 2.88438E+02 5.45587E+02 1.09231E+03 2.32646E+03 5.30043E+03 1.29956E+04 3.45140E+04 1.00000E+05
900 901 902 903 904 905 906 907 908 909 910
 1.17270E+00 9.56281E-02 1.12888E+00 9.21293E-02 6.01661E+02 1.57067E+00 1.28213E-01 1.75206E+02 1.17271E+00 9.56290E-02 8.59018E-02
 1.27887E+00 1.29948E-01 1.22218E+00 1.28180E-01 6.50105E+02 1.69696E+00 1.79565E-01 1.90304E+02 1.27889E+00 1.29949E-01 1.23829E-01
 1.46175E+00 1.86453E-01 1.38575E+00 1.86335E-01 7.00348E+02 1.91959E+00 2.61966E-01 2.06130E+02 1.46177E+00 1.86457E-01 1.82239E-01
 1.72739E+00 2.67133E-01 1.62532E+00 2.67931E-01 7.52648E+02 2.24654E+00 3.77050E-01 2.22779E+02 1.72744E+00 2.67140E-01 2.74508E-01
 2.09151E+00 3.75352E-01 1.95500E+00 3.74842E-01 8.07179E+02 2.69700E+00 5.26883E-01 2.40322E+02 2.09158E+00 3.75367E-01 4.24256E-01
 2.58184E+00 5.18529E-01 2.39919E+00 5.12146E-01 8.64230E+02 3.30401E+00 7.17714E-01 2.58879E+02 2.58198E+00 5.18559E-01 6.74534E-01
 3.22481E+00 7.03150E-01 2.98189E+00 6.83238E-01 9.23940E+02 4.10041E+00 9.53139E-01 2.78506E+02 3.22508E+00 7.03211E-01 1.10612E+00
 3.83605E+00 8.75149E-01 3.53627E+00 8.38110E-01 9.71901E+02 4.85829E+00 1.16439E+00 2.94398E+02 3.83651E+00 8.75259E-01 1.65910E+00
 4.03547E+00 9.33896E-01 3.72813E+00 8.91486E-01 9.86449E+02 5.12518E+00 1.23739E+00 2.99263E+02 4.03601E+00 9.34026E-01 1.87573E+00
 5.17507E+00 1.23675E+00 4.81503E+00 1.16346E+00 1.05750E+03 6.63344E+00 1.60806E+00 3.23136E+02 5.17631E+00 1.23704E+00 3.45387E+00
 6.61368E+00 1.59786E+00 6.19010E+00 1.48941E+00 1.13283E+03 8.54277E+00 2.05300E+00 3.48706E+02 6.61667E+00 1.59858E+00 6.65846E+00
 8.37009E+00 2.01416E+00 7.88441E+00 1.87835E+00 1.21272E+03 1.09015E+01 2.58949E+00 3.76094E+02 8.37792E+00 2.01603E+00 1.34725E+01
 1.04798E+01 2.47711E+00 9.95270E+00 2.33135E+00 1.29743E+03 1.37941E+01 3.22266E+00 4.05410E+02 1.05028E+01 2.48248E+00 2.86173E+01
 1.29806E+01 2.97400E+00 1.24135E+01 2.83564E+00 1.38731E+03 1.72389E+01 3.93458E+00 4.36807E+02 1.30587E+01 2.99183E+00 6.34697E+01
 1.59080E+01 3.48599E+00 1.53181E+01 3.36351E+00 1.48262E+03 2.13146E+01 4.68288E+00 4.70397E+02 1.62182E+01 3.55413E+00 1.44073E+02
 1.93061E+01 3.99783E+00 1.86720E+01 3.88958E+00 1.58359E+03 2.60138E+01 5.42804E+00 5.06284E+02 2.06165E+01 4.27116E+00 3.18052E+02
 2.32069E+01 4.50237E+00 2.25189E+01 4.40210E+00 1.69051E+03 3.14025E+01 6.15174E+00 5.44597E+02 2.79353E+01 5.42842E+00 6.21640E+02
 2.76701E+01 4.99716E+00 2.69156E+01 4.89839E+00 1.80368E+03 3.75596E+01 6.85016E+00 5.85469E+02 3.93933E+01 7.13483E+00 9.82962E+02
 3.27532E+01 5.48138E+00 3.19193E+01 5.37966E+00 1.92341E+03 4.45651E+01 7.52576E+00 6.29036E+02 5.25453E+01 8.82319E+00 1.26660E+03
 3.85126E+01 5.95330E+00 3.75851E+01 5.84614E+00 2.05002E+03 5.24964E+01 8.17963E+00 6.75439E+02 6.50741E+01 1.00914E+01 1.44793E+03
 4.50067E+01 6.41007E+00 4.39722E+01 6.29642E+00 2.18383E+03 6.14366E+01 8.81030E+00 7.24825E+02 7.73515E+01 1.10480E+01 1.57599E+03
 5.22928E+01 6.84799E+00 5.11374E+01 6.72760E+00 2.32518E+03 7.14658E+01 9.41403E+00 7.77342E+02 9.03120E+01 1.18557E+01 1.68781E+03
 6.04277E+01 7.26303E+00 5.91368E+01 7.13607E+00 2.47441E+03 8.26625E+01 9.98590E+00 8.33145E+02 1.04508E+02 1.25877E+01 1.79887E+03
 6.94665E+01 7.65129E+00 6.80249E+01 7.51813E+00 2.63186E+03 9.51029E+01 1.05208E+01 8.92393E+02 1.20204E+02 1.32638E+01 1.91428E+03
 7.94816E+01 8.01054E+00 7.78727E+01 7.87162E+00 2.79807E+03 1.08886E+02 1.10156E+01 9.55316E+02 1.37577E+02 1.38875E+01 2.03574E+03
 9.05160E+01 8.33669E+00 8.87227E+01 8.19256E+00 2.97332E+03 1.24073E+02 1.14649E+01 1.02205E+03 1.56714E+02 1.44534E+01 2.16376E+03
